CaseID,"Opened","Closed","Updated","Status","Status Notes","Responsible Agency","Category","Request Type","Request Details","Address","Street","Supervisor District","Neighborhood","Analysis Neighborhood","Police District","Latitude","Longitude","Point","point_geom","Source","Media URL","BOS_2012","data_as_of","data_loaded_at"								
13437452,"02/01/2021 07:48:00 AM","02/02/2021 09:25:00 AM","02/02/2021 09:25:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","208 LEXINGTON ST, SAN FRANCISCO, CA, 94110","LEXINGTON ST","9","Mission","Mission","MISSION","37,75990791539","-122,42072814793","    (37.75990792, -122.42072815)","POINT (-122.420728148 37.759907915)","Mobile/Open311","http://mobile311.sfgov.org/reports/13437452/photos","9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9657146,"10/11/2018 09:51:00 AM","10/11/2018 10:59:00 AM","10/11/2018 10:59:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","2125 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","North Beach","CENTRAL","37,804348","-122,411897","    (37.804348, -122.411897)","POINT (-122.411897 37.804348)","Mobile/Open311",,"3","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13461310,"02/06/2021 03:55:00 PM","02/06/2021 07:38:53 PM","02/06/2021 07:38:53 PM","Closed","Case Resolved - Completed","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","2698 BALBOA ST, SAN FRANCISCO, CA, 94121","BALBOA ST","1","Outer Richmond","Outer Richmond","RICHMOND","37,77625950108","-122,48751846745","    (37.7762595, -122.48751847)","POINT (-122.487518467 37.776259501)","Mobile/Open311","http://mobile311.sfgov.org/reports/13461310/photos","1","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13465537,"02/08/2021 08:06:00 AM","02/09/2021 10:37:00 AM","02/09/2021 10:37:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","1261 SHAFTER AVE, SAN FRANCISCO, CA, 94124","SHAFTER AVE","10","Hunters Point","Bayview Hunters Point","BAYVIEW","37,72744016658","-122,38436188021","    (37.72744017, -122.38436188)","POINT (-122.38436188 37.727440167)","Mobile/Open311","http://mobile311.sfgov.org/reports/13465537/photos","10","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13475791,"02/10/2021 11:26:00 AM","02/12/2021 09:10:24 AM","02/12/2021 09:10:24 AM","Closed","Case Resolved - WASTE NOT FOUND","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","Intersection of 14TH ST and MISSION ST","14TH ST","9","Mission","Mission","MISSION","37,7682723999","-122,41998291016","    (37.7682724, -122.41998291)","POINT (-122.41998291 37.7682724)","Phone",,"9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9687951,"10/18/2018 08:22:56 AM","10/21/2018 05:03:00 PM","10/21/2018 05:03:00 PM","Closed","Case Resolved - sfpd responded to request and no person sleeping.","HSOC Queue","Encampments","Encampment Reports","Encampment Cleanup","79 OAKWOOD ST, SAN FRANCISCO, CA, 94110","OAKWOOD ST","8","Mission Dolores","Mission","MISSION","37,760306","-122,424629","    (37.760306, -122.424629)","POINT (-122.424629 37.760306)","Web",,"8","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13413415,"01/25/2021 08:07:00 PM","01/26/2021 03:43:33 PM","01/26/2021 03:43:33 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","811 MASONIC AVE, SAN FRANCISCO, CA, 94117","MASONIC AVE","5","Panhandle","Lone Mountain/USF","PARK","37,7737841669","-122,44621393953","    (37.77378417, -122.44621394)","POINT (-122.44621394 37.773784167)","Mobile/Open311","http://mobile311.sfgov.org/reports/13413415/photos","5","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9665953,"10/13/2018 05:46:57 AM","10/13/2018 08:53:00 AM","10/13/2018 08:53:00 AM","Closed","Comment Noted - appropriate enforcement measures have been taken","HSOC Queue","Encampments","Encampment Reports","Encampment Cleanup","791 14TH AVE, SAN FRANCISCO, CA, 94118","14TH AVE","1","Inner Richmond","Outer Richmond","RICHMOND","37,7733344","-122,4724713","    (37.7733344, -122.4724713)","POINT (-122.4724713 37.7733344)","Mobile/Open311",,"1","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13422806,"01/28/2021 05:12:21 AM","01/28/2021 06:27:00 AM","01/28/2021 06:27:00 AM","Closed","Comment Noted - To be reviewed by Senior Staff","DBI Support Services Queue","General Request - BUILDING INSPECTION","complaint","dbi_other - complaint","Not associated with a specific address",,,,,,"0","0","    (0.0, 0.0)","POINT (0 0)","Web",,,"2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
14483386,"10/16/2021 01:34:36 AM","10/16/2021 07:18:00 AM","10/16/2021 07:18:00 AM","Closed","Area Cleared","DPW Ops Queue","Encampments","Encampment Reports","Encampment Cleanup","164 6TH ST, SAN FRANCISCO, CA, 94103","6TH ST","6","South of Market","South of Market","SOUTHERN","37,77994034311","-122,40786820191","    (37.77994034, -122.4078682)","POINT (-122.407868202 37.779940343)","Mobile/Open311","http://mobile311.sfgov.org/reports/14483386/photos","6","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
